이름,도메인,담당,Method,URL,Local Test,Dev Test
캠페인 목록 조회,Campaign,장지연,GET,/api/v1/campaigns,시작 전,시작 전
캠페인 상세 조회,Campaign,장지연,GET,/api/v1/campaigns/{campaignId},시작 전,시작 전
캠페인 등록,Campaign,장지연,POST,/api/v1/campaigns,시작 전,시작 전
캠페인 상태 변경,Campaign,장지연,PATCH,/api/v1/campaigns/{campaignId}/status,시작 전,시작 전
미션 수락,Mission,장지연,POST,/api/v1/campaigns/{campaignId}/missions,시작 전,시작 전
내 미션 목록,Mission,장지연,GET,/api/v1/missions/me,시작 전,시작 전
URL 제출,Mission,장지연,PATCH,/api/v1/missions/{missionId}/submit,시작 전,시작 전
미션 승인,Mission,장지연,PATCH,/api/v1/missions/{missionId}/approve,시작 전,시작 전
미션 취소,Mission,장지연,PATCH,/api/v1/missions/{missionId}/cancel,시작 전,시작 전
내 지갑 잔액 조회,Wallet,승환 양,GET,/api/v1/wallets/me,시작 전,시작 전
포인트 변동 내역 조회,Wallet,승환 양,GET,/api/v1/wallets/me/histories,시작 전,시작 전
출금 신청(환전),Wallet,승환 양,POST,/api/v1/wallets/withdraw,시작 전,시작 전
내 에스크로 정산 내역 조회,Escrow,승환 양,GET,GET /api/v1/escrows?status=LOCKED,시작 전,시작 전
회원가입,Auth,지원 황,POST,/api/v1/auth/signup,시작 전,시작 전
로그인,Auth,지원 황,POST,/api/v1/auth/login,시작 전,시작 전
유저 정보 조회,Auth,지원 황,GET,/api/v1/users/me,시작 전,시작 전
결제 준비,Payment,지원 황,POST,/api/v1/payments,시작 전,시작 전
결제 검증,Payment,지원 황,POST,/api/v1/payments/verify,시작 전,시작 전
결제 내역 조회,Payment,지원 황,GET,/api/v1/payments/{paymentId},시작 전,시작 전
포트원 연결 (웹훅),Payment,지원 황,POST,/api/v1/payments/webhook,시작 전,시작 전
대시보드 요약 조회,Dashboard,지원 황,GET,/api/v1/dashboard/summary,시작 전,시작 전
