이름,Dev Test,Local Test,Method,URL,담당,도메인
캠페인 목록 조회,시작 전,시작 전,GET,/api/v1/campaigns,장지연,Campaign
캠페인 상세 조회,시작 전,시작 전,GET,/api/v1/campaigns/{campaignId},장지연,Campaign
캠페인 등록,시작 전,시작 전,POST,/api/v1/campaigns,장지연,Campaign
캠페인 상태 변경,시작 전,시작 전,PATCH,/api/v1/campaigns/{campaignId}/status,장지연,Campaign
미션 수락,시작 전,시작 전,POST,/api/v1/campaigns/{campaignId}/missions,장지연,Mission
내 미션 목록,시작 전,시작 전,GET,/api/v1/missions/me,장지연,Mission
URL 제출,시작 전,시작 전,PATCH,/api/v1/missions/{missionId}/submit,장지연,Mission
미션 승인,시작 전,시작 전,PATCH,/api/v1/missions/{missionId}/approve,장지연,Mission
미션 취소,시작 전,시작 전,PATCH,/api/v1/missions/{missionId}/cancel,장지연,Mission
내 지갑 잔액 조회,시작 전,시작 전,GET,/api/v1/wallets/me,승환 양,Wallet
포인트 변동 내역 조회,시작 전,시작 전,GET,/api/v1/wallets/me/histories,승환 양,Wallet
회원가입,시작 전,시작 전,POST,/api/v1/auth/signup,지원 황,Auth
로그인,시작 전,시작 전,POST,/api/v1/auth/login,지원 황,Auth
유저 정보 조회,시작 전,시작 전,GET,/api/v1/users/me,지원 황,Auth
결제 준비,시작 전,시작 전,POST,/api/v1/payments,지원 황,Payment
포트원 연결 (웹훅),시작 전,시작 전,POST,/api/v1/payments/webhook,지원 황,Payment
출금 신청(환전),시작 전,시작 전,POST,/api/v1/wallets/withdraw,승환 양,Wallet
결제 내역 조회,시작 전,시작 전,GET,/api/v1/payments/{paymentId},지원 황,Payment
대시보드 요약 조회,시작 전,시작 전,GET,/api/v1/dashboard/summary,지원 황,Dashboard
내 에스크로 정산 내역 조회,시작 전,시작 전,GET,GET /api/v1/escrows?status=LOCKED,승환 양,Escrow
결제 검증,시작 전,시작 전,POST,/api/v1/payments/verify,지원 황,Payment
