이름,타입,설명,날짜,상태
success,Boolean,요청 성공 여부,,시작 전
message,String,응답 메시지,,시작 전
data.content,Array,에스크로 내역 리스트,,시작 전
data.content[].escrowId,Number,에스크로 고유 식별자,,시작 전
data.content[].campaignId,Number,연관된 캠페인 ID,,시작 전
data.content[].campaignTitle,String,연관된 캠페인 제목,,시작 전
data.content[].bloggerName,String,미션을 수행 중인 블로거 닉네임,,시작 전
data.content[].amount,Number,에스크로에 묶인 금액,,시작 전
data.content[].status,String,"현재 상태 (LOCKED, RELEASED, CANCELED)",,시작 전
data.totalPages,Number,전체 페이지 수,,시작 전
data.currentPage,Number,현재 페이지 번호,,시작 전
