이름,타입,설명,날짜,상태
success,Boolean,요청 성공 여부,,시작 전
data.content[].campaign_id,Number,캠페인 고유 식별자,,시작 전
data.content[].advertiser_id,Number,광고주 고유 식별자,,시작 전
data.content[].title,String,캠페인 제목,,시작 전
data.content[].thumbnail_url,String,S3 썸네일 이미지 URL,,시작 전
data.content[].reward_point,Number,블로거 1인당 지급 포인트,,시작 전
data.content[].status,String,RECRUITING · IN_PROGRESS · COMPLETED,,시작 전
data.content[].deadline,Timestamp,미션 마감 일시,,시작 전
data.page,Number,현재 페이지 번호,,시작 전
data.total_elements,Number,전체 데이터 수,,시작 전
data.total_pages,Number,전체 페이지 수,,시작 전
