이름,날짜,상태,설명,타입
data.content[].title,,시작 전,캠페인 제목,String
data.content[].campaign_id,,시작 전,캠페인 고유 식별자,Number
success,,시작 전,요청 성공 여부,Boolean
data.content[].reward_point,,시작 전,블로거 1인당 지급 포인트,Number
data.content[].deadline,,시작 전,미션 마감 일시,Timestamp
data.content[].status,,시작 전,RECRUITING · IN_PROGRESS · COMPLETED,String
data.page,,시작 전,현재 페이지 번호,Number
data.total_elements,,시작 전,전체 데이터 수,Number
data.total_pages,,시작 전,전체 페이지 수,Number
data.content[].advertiser_id,,시작 전,광고주 고유 식별자,Number
data.content[].thumbnail_url,,시작 전,S3 썸네일 이미지 URL,String
